id,win,kills,deaths,assists,largestkillingspree,largestmultikill,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgtoturrets,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,wardsplaced,wardskilled,firstblood
42,1,6,2,7,3,1,849,0,0,0,0,138160,6146,125667,6346,664,14820,2342,11931,546,1197,1,9935,0,8864,2835,6028,0,7,0,0
43,0,0,0,0,0,0,0,0,0,0,0,2632,1804,827,0,0,902,779,123,0,18,1,0,0,233,0,233,0,0,0,0
44,0,4,9,6,0,1,363,0,0,0,0,161562,103746,48529,9286,0,10670,8621,1819,230,6152,1,0,0,25053,9902,13883,1268,14,0,0
45,0,11,17,18,3,2,314,1,0,0,0,131754,3995,127360,398,1311,33505,1872,31409,224,4947,2,0,0,41546,25246,15580,719,2,1,0
46,0,4,6,3,2,1,576,0,0,0,0,114897,1054,112908,934,459,15853,279,15158,414,2463,3,4361,0,15888,5664,9565,658,10,1,0
47,0,9,3,5,8,2,909,2,0,0,0,248055,71469,152622,23963,1119,24481,3874,16407,4199,10468,4,2140,0,25302,10539,13634,1129,11,2,0
48,1,7,3,19,5,1,743,0,0,0,0,87906,14883,65881,7141,0,13890,2159,11054,676,5445,1,3972,0,22127,4527,17298,301,19,0,1
49,0,6,7,8,2,1,763,0,0,0,0,24455,18061,5311,1083,0,8541,6178,1529,833,4192,7,222,0,29349,10762,17236,1351,38,12,1
50,1,14,9,8,5,2,886,4,0,0,0,198945,2789,184567,11588,539,35660,2231,22237,11191,14103,4,9887,0,54804,10677,38691,5435,12,0,0
51,1,6,6,8,2,2,731,1,0,0,0,125682,45928,77391,2362,391,17578,8269,7558,1750,3517,1,2146,0,31451,14038,15593,1819,9,9,0
52,0,5,9,2,2,2,559,1,0,0,0,157680,45,156687,948,0,18655,28,18627,0,1389,1,2329,0,29968,13986,13805,2175,10,4,0
53,1,9,4,10,5,2,1024,1,0,0,0,136924,22470,102247,12206,0,17139,3530,13184,424,8467,1,2493,0,32203,16014,16128,60,12,9,1
54,0,11,9,8,4,1,458,0,0,0,0,115110,6580,100840,7689,0,20429,2723,13669,4036,6985,1,0,0,34565,9458,23024,2082,8,1,0
55,0,0,0,0,0,0,0,0,0,0,0,7042,481,5950,610,0,260,26,210,24,765,1,0,0,1502,0,1502,0,1,0,0
56,0,7,8,5,3,1,319,0,0,0,0,67135,10177,50815,6142,0,10130,2234,7851,44,3086,1,72,0,20327,3735,16267,324,19,2,0
57,1,13,4,8,6,2,964,2,0,0,0,192334,75078,102558,14696,0,21593,10888,8192,2512,24641,1,3737,0,43398,5095,36503,1799,13,2,0
58,1,0,12,10,0,0,544,0,0,0,0,176641,1074,171634,3931,700,12583,636,11946,0,2714,3,5194,0,22529,9515,12430,584,12,1,0
59,1,3,2,15,3,1,546,0,0,0,0,26345,17209,8373,762,0,9335,7385,1688,262,1262,3,4269,0,8847,4059,4704,84,15,3,0
60,1,9,12,16,2,2,327,1,0,0,0,116889,6137,102510,8242,1392,25873,1782,23279,812,12623,1,4146,0,35235,5862,27770,1603,12,2,0
61,0,1,6,4,0,1,281,0,0,0,0,64442,404,62902,1134,443,10886,346,9405,1134,838,3,1163,0,10890,3118,7634,138,7,1,1
62,0,11,6,9,5,1,1575,0,0,0,0,231561,1361,208339,21860,0,35015,1361,28504,5149,5054,1,8106,0,47981,21748,22001,4231,12,2,1
63,1,4,4,4,2,1,265,0,0,0,0,55273,48630,6643,0,0,12673,11657,1015,0,1504,1,0,0,9530,6549,2980,0,8,0,0
64,0,4,6,0,2,1,404,0,0,0,0,71253,34554,36699,0,0,9675,4005,5670,0,972,1,361,0,23555,5983,17487,84,8,1,0
65,0,0,1,0,0,0,188,0,0,0,0,922,553,369,0,0,172,86,86,0,0,0,0,0,789,270,519,0,0,0,0
66,0,4,13,7,0,1,328,0,0,0,0,139110,41139,83476,14494,678,14384,7864,5161,1358,7511,1,0,0,35897,12465,22371,1060,15,2,0
67,0,3,6,2,0,1,325,0,0,0,0,69574,4558,64665,350,0,8147,657,7140,350,760,1,0,0,18988,6443,11235,1310,8,3,0
68,0,1,9,7,0,1,323,0,0,0,0,73338,27133,39644,6560,397,7776,4325,2910,540,7532,4,0,0,23177,10734,11951,492,8,1,0
69,1,3,2,11,2,1,980,0,0,0,0,16724,9994,6244,486,0,6332,4121,1725,486,879,4,1380,0,13535,3898,9307,329,17,3,0
70,1,4,3,7,3,2,867,1,0,0,0,148550,106261,34500,7788,0,13057,11994,647,416,10104,1,3813,0,27116,10424,13826,2865,10,0,0
71,1,1,2,3,0,1,921,0,0,0,0,126397,113945,11680,772,0,7603,7336,202,64,2184,1,0,0,14129,4197,9931,0,10,1,0
72,0,3,9,6,0,1,435,0,0,0,0,117160,11560,105571,28,777,11850,3187,8634,28,2666,3,0,0,19477,11273,7582,622,12,1,0
73,0,9,6,4,6,1,1197,0,0,0,0,183347,35817,140576,6952,511,27116,7851,15288,3976,1375,1,4185,0,32288,6857,21748,3682,10,1,1
74,0,5,7,1,2,1,934,0,0,0,0,140963,9005,130688,1269,0,20205,4186,15849,170,5206,1,253,0,34376,15310,16923,2143,5,0,0
75,0,13,7,12,6,1,991,0,0,0,0,204605,12420,189513,2671,0,34595,3229,30017,1348,10615,1,5521,0,37696,16394,15284,6018,12,1,0
76,1,1,4,19,0,1,651,0,0,0,0,33853,15453,11833,6566,0,10896,8444,1923,528,5422,4,0,0,24329,7900,15536,892,25,6,0
77,1,3,2,7,3,1,1083,0,0,0,0,14735,8383,4334,2017,0,4482,3777,704,0,542,3,864,0,11480,4365,6507,608,11,1,0
78,0,1,9,0,0,1,526,0,0,0,0,90073,71437,17816,820,0,11625,9852,953,820,532,1,397,0,19341,10877,7892,572,8,0,0
79,1,5,0,3,5,2,0,1,0,0,0,53559,37314,16245,0,264,6052,4730,1321,0,1192,1,0,0,4995,782,4158,54,4,0,0
80,1,11,2,7,8,1,653,0,0,0,0,114551,99838,12624,2088,0,22762,21889,872,0,741,1,8671,0,8805,5990,2596,218,6,2,0
81,0,5,9,2,2,1,254,0,0,0,0,150035,9852,134837,5346,0,20455,5769,14380,306,7947,1,5697,0,32772,8081,23603,1088,9,2,0
82,1,13,2,9,7,2,918,3,0,0,0,111673,106066,5517,90,0,21789,20788,1001,0,2460,1,1957,0,13406,2898,10423,84,11,0,0
83,0,6,7,8,3,2,570,1,0,0,0,151029,20584,128825,1620,1584,17890,2938,14952,0,621,1,2080,0,25741,10882,13595,1262,14,5,0
84,1,11,1,4,11,3,214,3,1,0,0,134981,79877,24733,30370,0,18090,13545,1898,2646,2782,1,0,0,10700,3535,7121,44,5,0,0
85,1,0,0,0,0,0,0,0,0,0,0,7614,0,6615,999,231,0,0,0,0,694,1,0,0,1552,0,1552,0,1,0,0
86,0,8,9,4,2,2,343,1,0,0,0,116526,21720,84095,10710,0,13452,2226,10798,428,3543,1,0,0,28465,7611,19736,1117,14,2,0
87,0,0,1,2,0,0,443,0,0,0,0,19557,13822,2243,3491,0,8769,5757,603,2408,45,1,219,0,5637,2115,3462,60,5,1,0
88,1,10,4,8,5,2,890,1,0,0,0,223565,206216,17246,102,655,41456,38812,2644,0,35726,1,3964,0,38127,10985,26188,954,18,0,0
89,0,4,5,7,2,1,970,0,0,0,0,112691,56652,49243,6795,0,15696,6661,7980,1055,6323,1,0,0,29779,11068,18227,484,5,1,0
90,0,2,9,12,0,1,489,0,0,0,0,11187,7017,2418,1751,0,7029,4438,1339,1251,5311,5,0,0,15742,4510,10784,447,30,3,0
91,0,3,7,15,2,1,736,0,0,0,0,72313,59912,11415,986,0,21963,19032,1945,986,1999,5,0,0,21210,10375,9625,1210,13,2,0
92,0,17,9,10,6,2,669,3,0,0,0,274752,246380,23582,4789,0,48485,43351,4139,995,2437,1,9460,0,29783,12608,16194,980,16,1,0
93,0,5,9,6,2,1,348,0,0,0,0,104077,2342,101110,624,800,16130,1170,14777,182,4227,4,0,0,20976,7862,12676,438,2,1,0
94,1,12,4,5,10,3,743,3,1,0,0,162823,1423,152020,9380,904,30123,511,21081,8530,7252,2,6575,0,30872,10370,19945,556,4,1,0
95,1,12,7,12,7,1,761,0,0,0,0,115731,84142,28946,2642,644,36431,30545,4563,1322,7158,1,4318,0,22856,8309,14025,522,17,2,0
96,0,6,8,7,2,1,453,0,0,0,0,134093,15937,103798,14358,0,16149,3153,12387,608,7014,1,1033,0,31381,10679,19462,1239,11,1,1
97,0,2,9,2,2,2,543,1,0,0,0,90485,9831,80654,0,472,16363,1319,15044,0,1683,3,229,0,17150,3496,12731,923,4,1,0
98,1,6,5,17,3,2,622,1,0,0,0,106762,39326,60545,6891,0,14014,6734,6872,407,6260,1,1303,0,28792,7499,20553,739,22,4,0
99,1,0,0,0,0,0,0,0,0,0,0,4304,37,4267,0,0,499,7,491,0,0,0,0,0,704,90,613,0,1,0,0
100,1,10,8,10,3,2,568,1,0,0,0,347948,5298,336897,5753,0,44806,2589,40544,1671,15707,1,9298,0,70082,30647,36613,2821,20,2,0
101,1,5,7,15,3,1,483,0,0,0,0,56552,38819,15099,2632,0,12729,9129,3600,0,1197,3,0,0,26192,14159,11382,650,40,3,0
102,1,5,3,18,3,1,492,0,0,0,0,22404,6737,8459,7206,0,7406,4037,2861,507,3507,3,349,0,15789,4761,10400,628,13,0,1
103,0,3,5,4,2,2,687,1,0,0,0,145825,0,145825,0,1030,13301,0,13301,0,3758,3,1717,0,15519,5040,10139,340,8,2,0
104,0,1,8,5,0,1,398,0,0,0,0,16249,9937,5192,1119,141,7239,5430,1808,0,2025,4,0,0,18385,2815,14782,787,17,2,0
105,1,11,10,6,3,2,281,1,0,0,0,96882,1728,93482,1671,525,20818,761,19810,246,2782,2,5311,0,24178,6777,15661,1738,8,0,0
106,1,5,10,14,0,1,768,0,0,0,0,231507,168331,40946,22228,0,18720,15757,1878,1084,11272,1,0,0,45100,13137,31585,378,19,1,0
107,0,9,12,8,2,2,596,1,0,0,0,225036,7869,214316,2850,979,29787,1885,25879,2021,3672,3,3075,0,31073,12490,17659,923,10,4,0
108,1,7,10,20,2,1,485,0,0,0,0,137740,100609,13407,23722,221,49892,35459,1571,12861,4061,1,4301,0,31352,14167,15664,1521,21,4,0
109,1,0,0,0,0,0,0,0,0,0,0,3716,0,3716,0,0,579,0,579,0,98,1,0,0,348,0,348,0,0,0,0
110,1,4,6,22,2,1,541,0,0,0,0,11881,7302,4446,133,0,6769,4653,2115,0,12886,5,853,0,14054,1871,10056,2126,16,5,0
111,0,3,8,6,3,1,1294,0,0,0,0,163300,6509,147211,9580,1350,18499,2419,15663,416,1789,1,0,0,24631,4375,19864,392,6,2,0
112,1,7,5,10,3,1,599,0,0,0,0,136396,118587,16191,1616,0,21493,20301,902,290,2397,1,8543,0,16615,7922,7901,790,8,0,0
113,0,4,13,12,2,1,423,0,0,0,0,101393,16541,79950,4901,0,14239,2667,11387,183,4973,1,98,0,35118,8028,22961,4128,14,2,0
114,1,3,9,15,2,2,509,1,0,0,0,38608,31639,6376,592,0,17978,15436,2360,182,18701,6,1398,0,25364,12531,12078,754,12,1,0
115,0,4,3,11,3,1,771,0,0,0,0,137269,120669,16288,312,360,24649,20085,4378,186,15519,1,1697,0,42872,20464,20252,2155,7,0,0
116,0,9,7,6,4,2,436,2,0,0,0,171226,4462,156018,10745,0,16123,1946,13735,441,13877,1,1057,0,31105,5762,23669,1673,9,4,0
117,1,6,4,15,4,2,556,1,0,0,0,124340,82929,22256,19154,0,14862,12877,1984,0,7581,1,0,0,27198,3880,22693,625,6,0,0
118,1,5,1,16,4,1,1132,0,0,0,0,43980,39720,2522,1737,0,27713,25507,895,1310,3476,1,2363,0,13525,6881,6644,0,21,5,1
119,0,0,3,2,0,0,570,0,0,0,0,1344,981,362,0,0,1021,715,306,0,796,3,0,0,6174,815,4890,468,6,0,0
120,0,1,8,4,0,1,477,0,0,0,0,24278,9193,9024,6060,0,6593,3502,2290,800,1304,2,460,0,21834,7652,13088,1092,12,3,0
121,1,10,7,11,7,2,562,1,0,0,0,162074,86769,58717,16588,308,18052,13500,3231,1320,11854,1,1227,0,34436,14339,19919,178,12,0,0
122,1,3,3,2,2,1,622,0,0,0,0,68521,1750,66770,0,0,13439,761,12677,0,1502,2,1344,0,9653,2082,6923,647,5,2,0
123,0,1,10,3,0,1,566,0,0,0,0,10698,7342,3356,0,0,3981,3368,612,0,1037,3,78,0,22278,11148,10781,348,14,1,0
124,1,4,5,15,2,2,564,1,0,0,0,23708,16913,6794,0,0,9937,7788,2149,0,1219,4,790,0,17523,4512,11819,1191,9,0,0
125,0,1,10,9,0,1,400,0,0,0,0,77089,71445,5643,0,481,16371,15472,899,0,14264,1,879,0,30187,11029,17820,1338,11,1,0
126,1,13,2,7,6,2,859,2,0,0,0,138563,1362,133578,3622,651,23702,1059,19021,3622,10679,8,5855,0,29051,9981,18971,98,8,1,0
127,1,12,6,4,4,4,697,2,1,1,0,195934,1789,171591,22553,0,20051,393,16435,3222,9115,1,4051,0,29148,6052,22297,797,15,1,0
128,0,1,3,2,0,1,919,0,0,0,0,74735,31207,37350,6178,0,4882,1998,2476,408,6610,5,0,0,18361,2725,15503,132,8,1,0
129,0,1,6,5,0,1,417,0,0,0,0,26075,14230,9473,2371,0,5949,2710,3238,0,1154,5,558,0,16476,7925,8344,206,6,0,0
130,0,7,8,7,3,1,446,0,0,0,0,101997,39837,54947,7213,0,10919,7344,2625,949,16758,1,0,0,36132,8937,22430,4764,12,0,0
131,1,12,1,8,11,2,1473,1,0,0,0,188349,4580,172789,10978,856,30028,2240,26725,1062,5193,3,0,0,25037,12876,11746,414,9,2,0
132,0,11,6,3,5,2,879,2,0,0,0,175969,31765,143084,1119,0,30700,6323,24376,0,1870,1,4666,0,36529,11108,23552,1868,13,1,0
133,1,7,8,6,2,1,870,0,0,0,0,265593,36213,225538,3841,0,17257,2876,10540,3841,4867,1,0,0,60959,27826,31138,1994,13,4,0
134,1,5,8,7,2,2,335,1,0,0,0,76619,17692,58743,184,216,9550,5714,3651,184,4806,1,991,0,22167,5700,16445,22,13,0,0
135,1,0,0,0,0,0,0,0,0,0,0,4308,0,4308,0,0,148,0,148,0,40,1,0,0,293,85,208,0,1,0,0
136,0,2,8,2,0,1,492,0,0,0,0,68549,448,68094,7,430,8985,289,8689,7,1012,1,0,0,12727,4961,7766,0,6,0,0
137,0,3,6,12,0,1,466,0,0,0,0,10799,6809,3401,588,0,6043,4309,1165,568,1362,7,603,0,17678,4399,12144,1134,21,4,0
138,0,5,8,6,3,1,331,0,0,0,0,103850,16192,80807,6850,0,11026,1829,9025,172,4562,1,0,0,26413,12773,13381,258,25,3,0
139,0,4,5,16,3,2,892,1,0,0,0,73719,31831,31009,10878,0,21261,6947,12757,1556,17448,5,1954,0,39524,17998,20105,1421,34,2,0
140,0,2,9,4,0,1,355,0,0,0,0,37360,33751,3170,438,0,12756,11337,980,438,108,1,0,0,17423,6044,10913,466,11,1,0
141,1,13,11,8,2,2,478,2,0,0,0,294379,1888,262690,29801,0,41628,346,30526,10755,13515,1,1417,0,49334,16141,30706,2485,10,1,0
142,1,2,0,9,2,1,0,0,0,0,0,11924,7879,4015,29,0,5664,4072,1591,0,55,1,756,0,5854,2302,3552,0,15,0,0
143,1,7,4,9,3,2,532,2,0,0,0,115346,103570,10389,1386,0,17586,16376,458,750,2660,1,4825,0,21414,2291,17980,1142,9,3,0
144,0,5,7,16,2,2,629,1,0,0,0,131133,79755,21612,29764,0,29755,20822,2698,6234,7782,1,0,0,28735,15087,12244,1403,16,5,0
145,0,2,5,8,0,1,885,0,0,0,0,108630,3917,104311,401,300,15510,1001,14498,10,2915,4,1495,0,17869,4129,12503,1236,11,3,0
146,0,5,12,14,2,1,665,0,0,0,0,228481,1397,224940,2144,2125,25241,1014,23810,416,4781,3,4714,0,30922,8381,19343,3197,20,0,0
147,1,8,3,2,4,1,706,0,0,0,0,110020,73821,10712,25486,0,19238,18454,297,486,2928,1,28886,0,12586,8846,3479,261,11,0,1
148,0,3,6,7,0,1,768,0,0,0,0,132966,14534,117745,686,0,20143,4284,15643,216,2449,3,131,0,23442,8138,14203,1100,2,1,0
149,0,1,7,6,0,1,403,0,0,0,0,101699,0,101699,0,368,8888,0,8888,0,1149,2,2160,0,13747,5579,8054,114,6,0,0
150,1,7,2,12,4,2,631,1,0,0,0,97100,332,94537,2230,1680,15264,332,14838,94,917,3,10345,0,7404,2661,4743,0,4,0,0
151,1,6,3,6,4,1,649,0,0,0,0,142406,4667,137738,0,639,16534,1753,14780,0,3077,2,8251,0,8763,1643,7120,0,9,0,0
152,0,1,5,4,0,1,461,0,0,0,0,63366,47877,13450,2038,0,9454,7745,1655,54,713,1,752,0,16523,4868,9975,1680,5,0,0
153,0,19,12,9,8,2,559,4,0,0,0,212362,5934,195189,11238,0,33510,812,25244,7453,6269,1,5877,0,43709,13387,29391,930,12,3,0
154,1,4,4,10,3,1,738,0,0,0,0,79494,14954,59745,4794,303,14381,4890,7908,1583,2253,3,3864,0,12849,5303,7109,436,11,1,0
155,1,1,5,19,0,1,648,0,0,0,0,6340,4292,1992,55,0,4009,3476,478,55,18145,5,442,0,12211,5190,7020,0,16,5,0
156,0,3,10,5,0,1,295,0,0,0,0,117068,25290,91222,556,0,11858,2082,9456,319,584,1,1674,0,27550,4058,23052,440,13,1,0
157,0,2,7,0,0,1,336,0,0,0,0,94731,352,94378,0,0,11669,352,11316,0,1355,2,2473,0,14778,3417,9865,1496,2,0,0
158,1,10,4,11,5,2,1061,1,0,0,0,161645,4524,153153,3968,0,21486,2037,19143,306,5907,1,4500,0,36408,10396,24650,1362,9,0,0
159,1,10,2,10,5,2,967,1,0,0,0,210980,35773,156584,18622,0,16954,4158,11928,868,8190,1,5062,0,30387,7615,22190,582,26,6,0
160,1,10,6,8,4,1,718,0,0,0,0,183734,4655,175847,3232,678,27419,1473,24969,976,6674,3,6582,0,29689,14645,13325,1717,10,1,0
161,0,1,10,9,0,1,347,0,0,0,0,125160,3851,116844,4464,378,22030,1032,20998,0,5710,2,2323,0,28271,7980,18276,2014,5,1,0
162,0,2,3,10,0,1,815,0,0,0,0,128777,75003,21610,32162,0,18354,11573,1802,4977,3861,1,2714,0,18401,7909,9098,1393,12,4,0
163,1,5,1,13,4,1,148,0,0,0,0,27015,13451,8709,4855,0,6003,2973,3029,0,3270,4,836,0,11821,2274,9060,486,13,5,1
164,0,10,8,8,3,1,488,0,0,0,0,224612,10561,207071,6979,1133,23209,5280,15608,2321,7138,1,0,0,29215,6067,20358,2788,13,2,0
165,1,8,7,12,3,3,342,1,1,0,0,112056,49717,31063,31276,0,16041,15040,1001,0,7743,1,9188,0,24998,6177,18683,138,12,0,0
166,1,11,3,6,6,2,831,1,0,0,0,86219,6872,78121,1226,0,19923,2737,16326,859,2215,1,4640,0,13844,4953,8870,20,12,0,0
167,0,5,9,12,2,1,239,0,0,0,0,84596,3223,69102,12270,0,17983,2198,12638,3147,6841,1,391,0,32107,19783,11205,1118,8,1,0
168,0,12,6,6,7,2,881,1,0,0,0,198297,7318,179538,11441,0,24684,4449,17871,2364,14064,1,3622,0,39391,12036,26219,1136,18,2,0
169,1,8,7,3,2,2,781,1,0,0,0,137175,6319,130280,575,0,20819,1516,19303,0,2275,1,4399,0,27203,10887,15592,724,7,0,0
170,0,3,6,5,3,1,867,0,0,0,0,227672,2097,213251,12323,0,13920,183,11435,2301,10692,1,3234,0,34616,13520,20185,910,17,3,0
171,0,0,0,0,0,0,0,0,0,0,0,431,54,377,0,0,54,54,0,0,16,1,0,0,433,10,423,0,1,0,0
172,1,6,7,6,3,1,527,0,0,0,0,192187,171060,16015,5111,0,22410,20817,938,654,1196,1,2693,0,16877,6190,10005,681,13,1,0
173,1,2,3,7,2,1,789,0,0,0,0,84598,28154,56072,372,0,11344,5992,4980,372,5013,1,4613,0,16966,2482,13102,1382,5,1,0
174,1,3,5,15,2,1,374,0,0,0,0,17674,12252,5379,42,0,9305,7633,1672,0,1009,3,779,0,11903,6666,5237,0,12,0,0
175,0,6,16,13,2,1,399,0,0,0,0,43226,38575,3775,876,293,23231,20481,1874,876,6912,5,0,0,28594,12274,15170,1148,11,1,1
176,0,8,11,8,2,2,402,2,0,0,0,75116,18233,48394,8488,0,14909,2961,11729,218,2572,1,0,0,28638,12013,16585,40,12,1,0
177,0,7,8,8,3,3,421,2,1,0,0,122768,1389,120595,784,406,18738,1389,17153,196,3429,3,3890,0,19145,6046,12703,395,6,2,0
178,1,3,4,22,3,1,582,0,0,0,0,44027,5493,30434,8099,0,17650,3458,13170,1022,4251,5,2289,0,21315,6828,12427,2060,12,0,1
179,0,0,4,0,0,0,647,0,0,0,0,89448,79062,10242,144,0,8639,7986,509,144,976,1,345,0,9865,6643,2980,242,10,0,0
